dvanáct;dv-a-náct
ústeX;úst-e-X
reálňe;reál-ň-e
sevřel;se-vř-e-l
Xromí;Xrom-í
popálené;po-pál-en-é
pámbuví;pámbuví
musilo;mus-i-l-o
hem;hem
umyl;u-my-l
ukradené;u-krad-en-é
královského;král-ov-sk-é-ho
písmo;písm-o
podrážďení;po-drážď-en-í
přítomnost;pří-t-o-m-n-ost
hlásí;hlás-í
veseleji;vesel-eji
škvrňeti;škrv-ň-et-i
ubohé;u-boh-é
nisus;nisus
vstali;v-sta-l-i
základu;zá-klad-u
zjednodušuje;z-jedn-o-duš-u-j-e
konstatovati;kon-stat-ova-ti
účelovJE;ú-čel-ov-JE
pohrát;po-hrá-t
kterém;kter-é-m
účelů;ú-čel-ů
individuálního;in-divid-u-ál-n-í-ho
my;m-y
ohromnO;o-hrom-n-O
silvuplé;silvuplé
letním;let-n-í-m
královna;král-ov-n-a
kolem;kol-e-m
hřebík;hřeb-ík
slOžiti;slOž-i-ti
překážet;pře-káž-e-t
hodnotu;hod-n-ot-u
dosažení;do-saž-en-í
Xudáků;Xud-ák-ů
pláčeš;pláč-e-š
kdepak;kd-e-pak
teoretického;teor-et-ic-k-é-ho
hejkavec;hejkavec
hronovského;hronov-sk-é-ho
bOdy;bOd-y
neboli;nebo-li
piš;piš
kOsíček;kOs-íč-ek
kdežpak;kd-e-ž-pak
divoké;div-ok-é
druhého;druh-é-ho
napnOt;na-pn-O-t
dokolečka;do-kol-eč-k-a
astrophytum;astrophytum
zmítat;z-mít-a-t
požádala;po-žád-a-l-a
kreuzmann;kreuzmann
třiadvacátO;tř-i-a-dv-a-cát-O
vojáka;voj-ák-a
provždy;pro-vždy
pláči;pláč-i
zbledl;z-bled-l
krutO;krut-O
nedivte;ne-div-te
výťežkem;vý-ťež-k-e-m
malí;mal-í
skrojek;s-kroj-ek
velkomožný;vel-k-o-mož-n-ý
ďeti;ďet-i
zabitím;za-bi-t-í-m
rozžehnal;roz-žehn-a-l
úspJEXem;ú-spJEX-e-m
zemském;zem-sk-é-m
vojáčkům;voj-áč-k-ů-m
členů;člen-ů
obé;ob-é
zMŇEnily;z-MŇEn-i-l-y
jedno;jedn-o
vrátí;vrát-í
zvolal;z-vol-a-l
tahá;tah-á
postřehy;po-střeh-y
neppr;neppr
začátku;za-čá-t-k-u
inkunábulí;in-kunábul-í
akademické;akadem-ic-k-é
probůh;pro-bůh
shoďe;s-hoď-e
detektývům;de-tekt-ýv-ů-m
koho;k-o-ho
patřičnO;patř-i-č-n-O
kulda;kuld-a
leopoldii;leopoldii
tomu;t-o-mu
nejmíň;nej-míň
poXopili;po-Xop-i-l-i
čahOn;čah-On
proč;pro-č
zadržet;za-drž-e-t
všudybyl;všudybyl
pragmatistické;pragm-at-ist-ic-k-é
odstřelit;od-střel-i-t
seďet;seď-e-t
hlediska;hled-isk-a
zklamanO;z-klam-a-n-O
idealistovi;ideal-ist-ovi
jeden;jeden
milostný;mil-ost-n-ý
ďelaná;ďel-a-n-á
devJEt;devJEt
kovalenko;kovalenk-o
evolucionismu;evoluc-ion-ism
narovnal;na-rov-n-a-l
rozhodnutí;roz-hod-nu-t-í
ďelaly;ďel-a-l-y
nízká;níz-k-á
míca;míc-a
vypravování;vy-prav-ová-n-í
dolar;dolar
únoru;ú-nor-u
zálesí;zá-les-í
krApner;krApner
zamyslila;za-mysl-i-l-a
nesnadná;ne-snad-n-á
spát;sp-á-t
oXraňe;o-Xraň-e
slávije;sláv-ij-e
dudenka;dudenk-a
tom;t-o-m
očíhnul;o-číh-nu-l
sOsední;sO-sed-n-í
nadindividuálního;nad-in-divid-u-ál-n-í-ho
rozumovým;roz-um-ov-ý-m
praha;prah-a
zvlášťe;zvlášť-e
jasná;jas-n-á
původce;pů-vod-c-e
strčila;strč-i-l-a
klarinet;klarin-et
praktickým;prakt-ic-k-ý-m
propadly;pro-pad-l-y
třepal;třep-a-l
vránu;vrán-u
vykOpán;vy-kOp-á-n
pevná;pevn-á
lehké;leh-k-é
přičemž;při-č-e-m-ž
různé;různ-é
narazí;na-raz-í
smetišti;s-met-išt-i
konfliktu;kon-flikt-u
svraštil;s-vrašt-i-l
voříška;voříšk-a
dlOhé;dlOh-é
problémům;problém-ů-m
dáreček;dár-eč-ek
poXodíš;po-Xod-í-š
minutami;minut-a-m-i
tuláky;tul-ák-y
ptaly;pt-a-l-y
přinesu;při-nes-u
nosánek;nos-án-ek
hejtman;hejtman
rozvážňe;roz-váž-ň-e
důkladňe;dů-klad-ň-e
ptáci;ptác-i
utvářet;u-tvář-e-t
říkáte;řík-á-te
zkrátka;z-krát-k-a
právo;práv-o
bílém;bíl-é-m
lítla;lít-l-a
bolívije;bolív-ij-e
straX;straX
řezali;řez-a-l-i
človJEk;človJEk
pOhý;pOh-ý
uznávati;u-zn-á-v-a-ti
sebeklam;s-eb-e-klam
šibal;šib-a-l
doznávala;do-zn-á-v-a-l-a
nejradši;nej-rad-š-i
černýma;čern-ý-m-a
půlka;půl-k-a
usmívala;u-smí-v-a-l-a
máry;már-y
dost;dost
redutu;redut-u
příležitosti;pří-lež-it-ost-i
milostivá;mil-ost-iv-á
polici;pol-ic-i
loží;lož-í
rozbitý;roz-bi-t-ý
bOtrOKS;bOtrOKS
pohybu;po-hyb-u
stává;stá-v-á
prohlídku;pro-hlíd-k-u
předMŇEtem;před-MŇEt-e-m
shodám;s-hod-á-m
sednu;sed-n-u
nahodilá;na-hod-i-l-á
přísnosti;přísn-ost-i
zabijáku;za-bij-ák-u
prorokem;pro-rok-e-m
holubička;holub-ič-k-a
dvanácti;dv-a-náct-i
vylOčil;vy-lOč-i-l
drápek;dráp-ek
reguluje;reg-ul-u-j-e
kraji;kraj-i
potřásla;po-třás-l-a
osXlo;o-sX-l-o
kolega;koleg-a
nejdovedňejšíX;nej-do-ved-ň-ej-š-í-X
kryndypána;kryndy-pán-a
nejsme;ne-js-me
mOdrému;mOdr-é-mu
polévat;po-lév-a-t
beztoho;bez-t-o-ho
okolnosti;o-kol-n-ost-i
tancuje;tanc-u-j-e
ňemci;ňem-c-i
porca;porca
prostřednost;pro-střed-n-ost
slečno;sleč-n-o
poštmistrovské;pošt-mistr-ov-sk-é
malé;mal-é
ležela;lež-e-l-a
panečku;pan-e-č-k-u
trápení;tráp-en-í
staví;stav-í
pročistil;pro-čist-i-l
pokOsal;po-kOs-a-l
papírovýX;papír-ov-ý-X
vJEdomostmi;vJEd-om-ost-m-i
nejryXlejší;nej-ryXl-ej-š-í
ztracené;z-trac-en-é
pracovitost;prac-ov-it-ost
vytlOkal;vy-tlOk-a-l
cestující;cest-uj-í-c-í
ťe;ť-e
Xarakterizaci;Xarakter-iz-ac-i
snahu;snah-u
posvátném;po-svát-n-é-m
drahocenná;drah-o-cen-n-á
neřekl;ne-řek-l
rudnOt;rud-nO-t
nahmatal;na-hmat-a-l
velmi;vel-mi
krmen;krm-en
sic;sic
skupiňe;skup-iň-e
vážňe;váž-ň-e
les;les
nasadit;na-sad-i-t
zaplály;za-pl-á-l-y
bojovat;boj-ova-t
mocností;moc-n-ost-í
získávána;získ-á-v-á-n-a
deweyovi;dewey-ovi
sebO;s-eb-O
špatenko;špat-en-k-o
galán;galán
záda;zád-a
všude;vš-ud-e
cikánka;cikán-k-a
podvody;pod-vod-y
neXci;ne-Xc-i
epifenoménem;epi-fenomén-e-m
nOze;nOz-e
barvivy;barv-iv-y
jandera;jander-a
úhlů;úhl-ů
uMŇElýX;u-MŇ-E-l-ý-X
zlo;zl-o
dohazoval;do-haz-ova-l
živnost;ži-v-n-ost
bublá;bubl-á
zatrápená;za-tráp-en-á
rozehraje;roze-hra-j-e
pokusům;po-kus-ů-m
počne;po-č-n-e
peřiňe;peř-iň-e
žábu;žáb-u
společné;s-pol-eč-n-é
otevřela;ote-vř-e-l-a
ohled;o-hled
eKSistují;eKSist-u-j-í
výkladu;vý-klad-u
neublížíte;ne-u-blíž-í-te
svJEtlezelené;svJEt-l-e-zelen-é
novočerkasku;novočerkask-u
curyšské;curyš-sk-é
jeli;je-l-i
spor;s-por
nejkrásňejšího;nej-krás-ň-ej-š-í-ho
poXází;po-Xáz-í
protkání;pro-tk-á-n-í
dokončena;do-konč-en-a
vidím;vid-í-m
pracovnáX;prac-ov-n-á-X
básník;básn-ík
tinkturO;tinkt-ur-O
míXat;míX-a-t
zlosyn;zl-o-syn
díťetem;díť-et-e-m
vznikající;vz-nik-aj-í-c-í
novináX;nov-in-á-X
doby;dob-y
čintamani;čintaman-i
přerušena;pře-ruš-en-a
vJEřícím;vJEř-í-c-í-m
rodinu;rod-in-u
slámy;slám-y
tátovu;tát-ov-u
stenografií;steno-graf-i-í
sluncí;slun-c-í
psaníčko;ps-a-n-íč-k-o
nastrčil;na-strč-i-l
ztratí;z-trat-í
vykonané;vy-kon-a-n-é
jdete;jd-e-te
zvolala;z-vol-a-l-a
růžku;růž-k-u
dukátů;dukát-ů
popálil;po-pál-i-l
vykOřili;vy-kOř-i-l-i
tolika;tolik-a
vysedával;vy-sed-á-v-a-l
metafyzická;meta-fyz-ic-k-á
rozuMŇEl;roz-uMŇ-E-l
přijet;při-je-t
nenašel;ne-naš-e-l
vJEci;vJEc-i
musejí;mus-ej-í
nápadné;ná-pad-n-é
jednotlivá;jedn-ot-l-iv-á
povznáší;po-vz-náš-í
vrňení;vrň-e-n-í
vyčinil;vy-čin-i-l
Xvílemi;Xvíl-e-m-i
bojíš;boj-í-š
kritika;krit-ik-a
vážná;váž-n-á
nejoprávňeňejší;nej-o-práv-ň-e-ň-ej-š-í
kozáčky;kozáč-k-y
vJEčnýX;vJEč-n-ý-X
ukázal;u-káz-a-l
vyvíjí;vy-víj-í
komůrce;komůr-c-e
jiného;jin-é-ho
očička;oč-ič-k-a
potlOkal;po-tlOk-a-l
omaluje;o-mal-u-j-e
marodů;marod-ů
nejistota;ne-jist-ot-a
jistotO;jist-ot-O
snah;snah
podanýX;po-d-a-n-ý-X
odpískali;od-písk-a-l-i
povídal;po-víd-a-l
hOba;hOb-a
saje;sa-j-e
odbyto;od-by-t-o
nezlobte;ne-zl-ob-te
spolek;s-pol-ek
nevidíš;ne-vid-í-š
nenávidí;ne-ná-vid-í
sluhové;sluh-ové
líbí;líb-í
mOXu;mOX-u
pádí;pád-í
vyvoláno;vy-vol-á-n-o
jíti;jí-ti
zabít;za-bí-t
pevňe;pevň-e
dovoleno;do-vol-en-o
díťe;díť-e
Xlapi;Xlap-i
ledvinu;ledv-in-u
lít;lí-t
optimismu;optim-ism-u
posílali;po-síl-a-l-i
znamení;znam-en-í
mužskými;muž-sk-ý-m-i
podobJE;po-dob-JE
valij;valij
človJEku;človJEk-u
zašeptal;za-šept-a-l
úctO;ú-ct-O
ztuhlé;z-tuh-l-é
užitečná;u-žit-eč-n-á
molijerův;molijer-ův
dosvJEdčovali;do-s-vJEd-č-ova-l-i
lehko;leh-k-o
kopytenka;kopytenk-a
ponenáhlu;po-ne-náhl-u
pO;pO
pustém;pust-é-m
vlastnosti;vlast-n-ost-i
surovče;sur-ov-č-e
mele;mel-e
netáže;ne-táž-e
uďelání;u-ďel-á-n-í
venku;ven-k-u
oni;on-i
oKSfordského;oKSford-sk-é-ho
nemyslete;ne-mysl-e-te
sluncová;slun-c-ov-á
tilsXe;tilsX-e
lepším;lep-š-í-m
ťeším;ťeš-í-m
otázek;o-táz-ek
nevJEdí;ne-v-JEd-í
holbenovi;holben-ovi
čuXnul;čuX-nu-l
dáme;d-á-me
nemáte;ne-m-á-te
omotal;o-mot-a-l
Xyt;Xy-t
týmž;t-ý-m-ž
kulatá;kul-at-á
práskám;prásk-á-m
trhu;trh-u
ha;ha
shýbal;s-hýb-a-l
žebráčkové;žebr-áč-k-ové
srazil;s-raz-i-l
uskuteční;u-s-kut-eč-n-í
nedala;ne-d-a-l-a
umíš;um-í-š
věřit;větř-i-t
jejím;je-j-í-m
líčka;líč-k-a
ozvala;o-zv-a-l-a
vražďe;vraž-ď-e
uvede;u-ved-e
nejčistšího;nej-čist-š-í-ho
vztah;vz-tah
rozjetého;roz-je-t-é-ho
matek;mat-ek
přespat;pře-sp-a-t
rozuMŇEj;roz-uMŇ-Ej
mocné;moc-n-é
čarokrásné;čar-o-krás-n-é
ocasem;ocas-e-m
ústa;úst-a
vyhojit;vy-hoj-i-t
ulevilo;u-lev-i-l-o
obrázky;ob-ráz-k-y
šplOXá;šplOX-á
horOcí;hor-O-c-í
šleXetňejší;šleX-et-ň-ej-š-í
tobolku;tobol-k-u
flámu;flám-u
uskutečňení;u-s-kut-eč-ň-en-í
bezpodmínečné;bez-pod-mín-eč-n-é
vezme;vez-m-e
nejvzácňejšíX;nej-vzác-ň-ej-š-í-X
bičem;bič-e-m
vyvolaly;vy-vol-a-l-y
wells;wells
čekala;ček-a-l-a
prezzolini;prezzolini
rázu;ráz-u
kočárek;koč-ár-ek
nevJEdeckým;ne-vJEd-ec-k-ý-m
úkoje;ú-koj-e
nástup;ná-stup
talentů;talent-ů
podívali;po-dív-a-l-i
neodřel;ne-o-dř-e-l
dudek;dud-ek
flirtovala;flirt-ova-l-a
neposlOXal;ne-po-slOX-a-l
holky;hol-k-y
noviny;nov-in-y
hlOček;hlOč-ek
pořádňe;po-řád-ň-e
ryXle;ryXl-e
zatřepetal;za-třep-e-t-a-l
dovolujete;do-vol-u-j-e-te
přizpůsobivosti;při-z-pů-sob-i-v-ost-i
zajímavý;za-jím-a-v-ý
třicáté;tř-i-cát-é
tahal;tah-a-l
zpívající;z-pí-v-aj-í-c-í
nejpříMŇEjší;nej-příMŇ-Ej-š-í
kosmického;kosm-ic-k-é-ho
pOhém;pOh-é-m
víťezňe;víťez-ň-e
zavrťet;za-vrť-e-t
papíru;papír-u
slovo;slov-o
vydrželi;vy-drž-e-l-i
účastňe;ú-čast-ň-e
hodí;hod-í
utekla;u-tek-l-a
poslušňe;po-sluš-ň-e
dalamánka;dalamán-k-a
hustá;hust-á
slovanský;slov-an-sk-ý
palcem;palc-e-m
zatříďena;za-tříď-en-a
renomovaná;re-nom-ova-n-á
zMŇEny;z-MŇEn-y
samo;sam-o
podnes;po-dnes
ovzduší;o-vz-duš-í
instrumentální;instru-ment-ál-n-í
rozpaky;roz-pak-y
tolary;tolar-y
pokračovala;po-krač-ova-l-a
zápašek;zá-paš-ek
basta;basta
peirce;peirce
vzešlO;vze-š-l-o
utírat;u-tír-a-t
pJEstuješ;pJEst-u-j-e-š
překvapením;pře-kvap-en-í-m
nehlásili;ne-hlás-i-l-i
říše;říš-e
hmotu;hmot-u
mrkal;mrk-a-l
zrudnul;z-rud-nu-l
dané;d-a-n-é
nedokončené;ne-do-konč-en-é
myšlenkovO;myšl-e-n-k-ov-O
zapálila;za-pál-i-l-a
vystrčil;vy-strč-i-l
mlčel;mlč-e-l
domovníka;dom-ov-n-ík-a
absolutňe;absolut-ň-e
zjišťeno;z-jišť-en-o
mladé;mlad-é
tlak;tlak
četl;čet-l
přestrojen;pře-stroj-en
tvořiti;tvoř-i-ti
řemen;řemen
puzení;puz-en-í
ledaskdo;ledas-kd-o
tohohle;t-o-ho-hle
zesmutňel;ze-smut-ň-e-l
ujela;u-je-l-a
ocenit;o-cen-i-t
poškodil;po-škod-i-l
vypálil;vy-pál-i-l
umyvadly;u-my-v-a-dl-y
honorací;honor-ac-í
krizi;kriz-i
kupoval;kup-ova-l
peníze;peníz-e
ztratiti;z-trat-i-ti
hráli;hrá-l-i
počkejte;po-čk-ej-te
tenis;tenis
četník;čet-n-ík
obsáhlý;ob-sáh-l-ý
zdokonalitelný;z-do-kon-a-l-i-tel-n-ý
nevyskočila;ne-vy-skoč-i-l-a
raďeji;raď-eji
mnoha;mnoh-a
zašťekla;za-šťek-l-a
pragmatista;pragm-at-ist-a
dobro;dobr-o
nepříjemnost;ne-pří-jem-n-ost
pít;pí-t
provždycky;pro-vždy-ck-y
nečleňená;ne-čleň-en-á
zářícíma;zář-í-c-í-m-a
sňem;s-ňem
tmO;tm-O
zobat;zob-a-t
sladkosti;slad-k-ost-i
vyslyšeti;vy-slyš-e-ti
vymře;vy-mř-e
mindcure;mindcure
tůňe;tůň-e
výsledků;vý-sled-k-ů
zaXvJEla;za-XvJE-l-a
nemohli;ne-moh-l-i
Atem;At-e-m
vyjeli;vy-je-l-i
kratoXvíl;kratoXvíl
překážejí;pře-káž-ej-í
přeptám;pře-pt-á-m
sociálníX;soci-ál-n-í-X
zapečetili;za-pečet-i-l-i
sOstava;sO-stav-a
starý;star-ý
specifickým;speci-fic-k-ý-m
nenakrájí;ne-na-kráj-í
hrůzy;hrůz-y
čilým;čil-ý-m
ty;t-y
bludům;blud-ů-m
všelijaké;vš-e-li-jak-é
pojmovO;po-jm-ov-O
řada;řad-a
ženská;žen-sk-á
čočku;čoč-k-u
financ;fin-anc
arménije;armén-ij-e
dusí;dus-í
účelňejší;ú-čel-ň-ej-š-í
balabán;balabán
rozžhavena;roz-žh-av-en-a
celém;cel-é-m
žádným;žád-n-ý-m
nejpokorňejší;nej-po-kor-ň-ej-š-í
sklopil;s-klop-i-l
lístek;líst-ek
vyXází;vy-Xáz-í
is;is
zdání;z-dá-n-í
vzpomňelo;vz-po-mň-e-l-o
osaMŇEle;o-saMŇ-E-l-e
cosi;c-o-si
zapískal;za-písk-a-l
ušetřeny;u-šetř-en-y
vJEďením;vJEď-e-n-í-m
sezobe;se-zob-e
živoťe;ži-v-oť-e
řekl;řek-l
holObata;holOb-at-a
poniatowského;poniatowsk-é-ho
tříMŇEsíční;tř-í-MŇEsíč-n-í
zašeptala;za-šept-a-l-a
hašteřily;hašteř-i-l-y
netočí;ne-toč-í
blíží;blíž-í
žebro;žebr-o
zobáky;zob-ák-y
jiskrností;jiskr-n-ost-í
nevrlej;ne-vr-l-ej
bříško;bříš-k-o
revír;revír
neplačte;ne-plač-te
poctivého;po-ct-i-v-é-ho
naložte;na-lož-te
sesednO;se-sed-n-O
zažito;za-ži-t-o
šofére;šofér-e
přesvJEdčivého;pře-s-vJEd-č-i-v-é-ho
dotěrný;do-těr-n-ý
unese;u-nes-e
strážníci;stráž-n-íc-i
podrbu;po-drb-u
MŇEli;MŇE-l-i
ňekolikrát;ňe-kolil-krát
kozu;koz-u
užitečno;u-žit-eč-n-o
přeMŇEnilo;pře-MŇEn-i-l-o
vzdávám;vz-d-á-v-á-m
tučného;tuč-n-é-ho
nAce;n-Ac-e
cent;cent
kůň;kůň
čtvrtého;čtvrt-é-ho
ostruhami;ostr-uh-a-m-i
zdvořilost;z-dvoř-i-l-ost
bJEhal;bJEh-a-l
pánu;pán-u
vyhoření;vy-hoř-e-n-í
stydne;styd-n-e
šatlavO;šatl-av-O
Xaotický;Xaot-ic-k-ý
mil;mil
švadlena;šv-adl-en-a
hovořil;hovoř-i-l
osla;osl-a
prvního;prv-n-í-ho
sloveX;slov-e-X
donesl;do-nes-l
příčinami;pří-čin-a-m-i
stíháte;stíh-á-te
dráhy;dráh-y
empirického;empir-ic-k-é-ho
svazovaly;s-vaz-ova-l-y
panička;pan-ič-k-a
ukázalo;u-káz-a-l-o
konstruování;ko-stru-ová-n-í
zaXrániti;za-Xrán-i-ti
požadavkem;po-žad-a-v-k-e-m
voňavý;voň-av-ý
myšleného;myšl-e-n-é-ho
člunu;člun-u
trefil;tref-i-l
policije;polic-ij-e
odňekud;od-ňe-k-ud
svJEdkům;s-vJEd-k-ů-m
skleníku;skl-en-ík-u
balík;bal-ík
nutí;nut-í
našim;n-a-š-i-m
patnáct;pat-náct
ďábleX;ďábl-e-X
sedmnáct;sedm-náct
žebráky;žebr-ák-y
nemyslíme;ne-mysl-í-me
myšlenek;myšl-e-n-ek
zakusovat;za-kus-ova-t
hrdlořez;hrdl-o-řez
zatracené;za-trac-en-é
vyplývá;vy-plý-v-á
šesti;šest-i
proježíšekrista;pro-ježíš-e-krist-a
přikOzlil;při-kOzl-i-l
monismu;mon-ism-u
krůpJEj;krůp-JEj
tence;ten-c-e
neXceš;ne-Xc-e-š
podrobnosti;po-drob-n-ost-i
platno;plat-n-o
ukradnu;u-krad-n-u
mejzlík;mejzlík
Atomobily;Ato-mobil-y
sťeží;s-ťež-í
holandského;holand-sk-é-ho
zbavuje;z-bav-u-j-e
malinký;mal-in-k-ý
slon;slon
ďedečkův;ďed-eč-k-ův
pošlu;po-šl-u
sličňe;s-lič-ň-e
ferencovinu;ferenc-ov-in-u
kOta;kOt-a
relativňe;rel-at-iv-ň-e
požehnaný;po-žehn-a-n-ý
párá;pár-á
smrtí;s-mr-t-í
desítiletíX;desít-i-let-í-X
příčinnost;pří-čin-n-ost
štíp;štíp
výjimečnýX;vý-jim-eč-n-ý-X
vJEnoval;vJEn-ova-l
rejha;rejh-a
přistOpit;při-stOp-i-t
ječela;ječ-e-l-a
odrazily;od-raz-i-l-y
proháňejí;pro-háň-e-j-í
díl;díl
smrtelné;s-mr-tel-n-é
přeskakoval;pře-skak-ova-l
ošetřovaly;o-šetř-ova-l-y
podniků;pod-nik-ů
ustavičňe;u-stav-ič-ň-e
kaplani;kapl-an-i
neďelám;ne-ďel-á-m
strčil;strč-i-l
polití;po-li-t-í
krátce;krát-c-e
zažil;za-ži-l
filozofování;filo-zof-ová-n-í
kazisvJEt;kaz-i-svJEt
složili;s-lož-i-l-i
kanál;kanál
vícekráte;více-kráte
urážka;u-ráž-k-a
dejvicíX;dejvic-í-X
hlOpí;hlOp-í
nejdůvJErňejšího;nej-dů-vJEr-ň-ej-š-í-ho
přinese;při-nes-e
oddával;od-d-á-v-a-l
leželo;lež-e-l-o
uvážit;u-váž-i-t
vJErňe;vJEr-ň-e
armstrong;armstrong
ukradli;u-krad-l-i
blátem;blát-e-m
palec;palec
napadne;na-pad-n-e
tvrzení;tvrz-en-í
sardinek;sardin-ek
nabídku;na-bíd-k-u
logické;log-ic-k-é
ryXlejšímu;ryXl-ej-š-í-mu
stromeX;strom-e-X
pískal;písk-a-l
ohlédl;o-hléd-l
nestyda;ne-styd-a
zaručeno;za-ruč-en-o
roy;roy
nepůjde;ne-pů-jd-e
mrtev;mr-tev
prohlásila;pro-hlás-i-l-a
dopisů;do-pis-ů
wislizena;wislizen-a
okázalost;o-káz-a-l-ost
navrkám;na-vrk-á-m
podmíňeny;pod-míň-en-y
zatracenO;za-trac-en-O
budiž;bud-iž
vrací;vrac-í
cařihraďe;cař-i-hraď-e
zobák;zob-ák
okem;ok-e-m
zvolily;z-vol-i-l-y
odpor;od-por
zajatec;za-j-at-ec
hodnotné;hod-n-ot-n-é
nemocným;ne-moc-n-ý-m-i
myslela;mysl-e-l-a
revidenti;re-vid-ent-i
radit;rad-i-t
tuhle;t-u-hle
vypáčili;vy-páč-i-l-i
spíše;spíše
přístřeší;pří-střeš-í
utilitarism;utilit-ar-ism
čirá;čir-á
absolutní;absolut-n-í
vracel;vrac-e-l
hezké;hez-k-é
američankO;američ-an-k-O
najal;na-j-a-l
žila;ži-l-a
proďelávám;pro-ďel-á-v-á-m
propánečka;pro-pán-eč-k-a
odvezl;od-vez-l
potiXu;po-tiX-u
potácel;po-tác-e-l
apologetiky;apologet-ik-y
Xlupáči;Xlup-áč-i
devatero;devat-er-o
Atokritika;Ato-krit-ik-a
odpřisáhnu;od-při-sáh-n-u
lepšíX;lep-š-í-X
mokré;mok-r-é
kolosy;kolos-y
filozofovy;filo-zof-ov-y
nesOlad;ne-sO-lad
hlOb;hlOb
tvoření;tvoř-en-í
hlavu;hlav-u
horlivJE;hor-l-i-v-JE
koleje;kol-ej-e
komteska;komt-es-k-a
hOsku;hOs-k-u
zavolám;za-vol-á-m
hup;hup
synáčku;syn-áč-k-u
sOvislostí;sO-vis-l-ost-í
plížit;plíž-i-t
zavoláme;za-vol-á-me
bojí;boj-í
tahleta;t-a-hle-t-a
trepky;trep-k-y
položil;po-lož-i-l
div;div
prostOpeno;pro-stOp-en-o
univerzitnímu;uni-verz-it-n-í-mu
hrabat;hrab-a-t
pravý;prav-ý
pánové;pán-ové
kapsu;kaps-u
ozvat;o-zv-a-t
aleKSandra;aleKSandr-a
zpáteční;z-pát-eč-n-í
Xlastají;Xlast-aj-í
jmenují;jmen-u-j-í
sametu;samet-u
aristotela;aristotel-a
jednáme;jedn-á-me
aladdin;alladin
příčin;pří-čin
udiven;u-div-en
hruškO;hruš-k-O
tvor;tvor
